name,year,rt.audience,rt.audience.day1,rt.audience.day3,rt.audience.day14,rt.audience.day28,rt.critics,rt.critics.day1,rt.critics.day3,rt.critics.day14,rt.critics.day28
Maze Runner: The Scorch Trials,2015,54,70,69,66,64,46,49,50,50,50
Almost Christmas 2016,2016,64,,,77,71,49,,,50,50
Nobody's Fool 2018,2018,35,44,42,41,41,23,25,20,20,20
Annihilation,2018,66,76,65,66,68,88,90,86,87,87
Isle of Dogs 2018,2018,87,89,87,88,88,90,91,91,90,90
The Gift 2015,2015,75,,82,80,80,91,,93,93,93
Dunkirk 2017,2017,81,89,85,83,82,93,91,92,93,93
Winter's Tale 2014,2014,43,51,52,50,48,13,12,15,13,13
Big Hero 6,2014,91,,94,94,94,89,,90,89,89
Keeping Up with the Joneses,2016,37,51,,50,40,19,19,,21,19
Sleepless 2017,2017,37,,59,51,50,25,,11,14,19
Captain America: Civil War,2016,89,91,92,91,91,91,91,91,90,90
Cafe Society 2016,2016,56,,70,,67,71,,76,,70
It 2017,2017,84,92,89,87,86,86,90,87,85,85
San Andreas,2015,52,,,61,60,50,,,50,50
The Lazarus Effect,2015,23,30,31,28,27,17,14,14,14,14
Star Wars: Episode VII - The Force Awakens,2015,86,93,92,90,90,93,95,95,93,93
Annabelle: Creation,2017,67,79,76,74,74,70,69,67,67,67
BlacKkKlansman,2018,82,78,78,80,81,96,97,97,95,95
White Boy Rick,2018,50,62,61,56,55,59,60,59,58,60
Black Panther 2018,2018,79,77,74,79,79,97,98,97,97,97
